,category,store,id,review_spell_check,star
21,한식,웅이네오돌뼈닭발도-금정동,sa**님,원래 이런 거 잘 안 남기는데 너무 죄송한 마음에 리뷰 남깁니다  영업 마감시간 때쯤 주문을 한 것도 죄송한데 깜빡 잠이 들어 배달기사분도 사장님도 30분이나 기다려주셨더라고요 너무 화나셨을 텐데 기사분도 사장님도 화 한번 내시지 않고 웃으시면서 다시 보내주셨습니다 너무 죄송합니다 그리고 너무 감사합니다 신랑이 그 시간에 끝나는데 너무 먹고 싶다고 하여서 시켰는데 맛도 너무 좋았고요 불 향도 좋았고요 그리고 정말 친절하신 사장님과 기사님 덕분에 더 맛있었습니다 감사하고 죄송합니다 번창하세요,5
22,한식,웅이네오돌뼈닭발도-금정동,hw**님,너무 맛있게 잘 먹었습니다,5
23,한식,웅이네오돌뼈닭발도-금정동,ls**님,부모님이 주꾸미를 좋아하셔서 시켰어요 잘 먹었습니다 개인적으로는 단잔의 조화의 맛 이 좀 아쉽,4
24,한식,웅이네오돌뼈닭발도-금정동,ha**님,계란찜이 정말 맛있어요,5
25,한식,웅이네오돌뼈닭발도-금정동,dm**님,맨날 일단 먹기 바빠서 받자마자 사진을 못 찍어요 뼈 무덤 저거 정신 차리자마자 찍었습니다 너무 맛나요 국물 닭발은 웅이네,5
26,한식,웅이네오돌뼈닭발도-금정동,db**님,맛있게 잘 먹었습니다,5
27,한식,웅이네오돌뼈닭발도-금정동,se**님,두 번째 주문이에요 계란찜 너무 맛있어서 추가해먹었네요,5
28,한식,웅이네오돌뼈닭발도-금정동,dn**님,매운 거 못 먹는데 보통맛 시켜서 먹으니까 딱 좋았습니다,5
29,한식,웅이네오돌뼈닭발도-금정동,hy**님,적당히 매콤하고 맛있어요 배달도 빠르고 음식이 깔끔하게 오네요 잘 먹겠습니다 오늘도 수고하세요,5
30,한식,웅이네오돌뼈닭발도-금정동,si**님,기대 없이 주문했는데 왜 이렇게 맛있나요 아 리뷰 쓰는데 침 나오는 건 첨이네요,5
31,한식,웅이네오돌뼈닭발도-금정동,ay**님,요청사항도 잘 들어주시고 맛있게 먹었네요,5
32,한식,웅이네오돌뼈닭발도-금정동,se**님,계란찜은 부드럽고 맛있고 주먹밥도 고소하고 맛있었어요 닭발은 중간 맛으로 시켰는데 신라면 잘 먹는 사람도 좀 많이 매웠네요 다음에 또 시켜 먹을게요,5
33,한식,웅이네오돌뼈닭발도-금정동,ay**님,말도 바닥까지 긁어먹었어요 다른 지점도 잘 시켜 먹는 게 주먹밥에 참치 넣어주시는 곳은 첨 본 것 같아요 잘 먹었습니다,5
34,한식,웅이네오돌뼈닭발도-금정동,je**님,빨리 왔어요 무뼈닭발 맵게 잘 먹었는데 주먹밥 김가루랑 마요네즈 양이 좀 적어서 아쉬웠어요,5
35,한식,웅이네오돌뼈닭발도-금정동,qk**님,오도독뼈 고기도 크고 맛도 괜찮네요 주먹밥은 쌀이 씹는 감이 부족한 거 같아요,3
36,한식,웅이네오돌뼈닭발도-금정동,qu**님,맛있게 잘 먹었습니다 닭발 맛 집이지만 오늘은 치즈불닭 다음에 또 주문할게요,5
37,한식,웅이네오돌뼈닭발도-금정동,re**님,맛있어요 깔끔해 요다음에 또 시킬게요 매워요,5
39,한식,웅이네오돌뼈닭발도-금정동,ls**님,좋아요 처음으로 포장해 갔어요 닭발도 처음 와 돌 뼈는 많이 시켜 먹었는데 술이 당겨서 주문한 닭발 너무 좋아요 최고 밥에 같이 비빌 수 있는 양념이 좀 있었다면 더 좋았을 것 같다는 의견 드립니다 서비스 주신 쿨피스도 최고 서비스 쿨피스는 냉장고 넣고 깜빡하고 못 찍었어요 이번에도 잘 먹었습니다 또 시킬게요,3
40,한식,웅이네오돌뼈닭발도-금정동,ks**님,양도 많고 배달도 빠르고 맛있어요,5
41,한식,웅이네오돌뼈닭발도-금정동,pc**님,맛 도 양도 배달도  좋았습니다 잘 먹었어요,5
42,한식,웅이네오돌뼈닭발도-금정동,mi**님,맛있었습니다 매콤하네요,5
43,한식,웅이네오돌뼈닭발도-금정동,손님,불닭은 역시나 굿 양념 똥집은  양념은 맛있는데 똥집이 너무 고무였어요 똥집은 버리고 양념에 밥만 볶아먹음요,3
44,한식,웅이네오돌뼈닭발도-금정동,tj**님,할머니가 드시고 싶다 하셔서 시켰는데 배달도 빠르고 양도 엄청 많아서 낼 아침에 또 먹으려고요,5
45,한식,웅이네오돌뼈닭발도-금정동,yu**님,멀지만 안양점이 맛있어서 주문했어 요양도 푸짐하고 맛있어요,5
46,한식,웅이네오돌뼈닭발도-금정동,is**님,항상 주문하고 있습니다 맛있어요,5
47,한식,웅이네오돌뼈닭발도-금정동,yk**님,맛있게 잘 먹었습니다  담에 또 먹으려 합니다,5
48,한식,웅이네오돌뼈닭발도-금정동,ma**님,그냥저냥 매워요,2
49,한식,웅이네오돌뼈닭발도-금정동,pk**님,후회 없는 선택이었습니다,5
50,한식,웅이네오돌뼈닭발도-금정동,db**님,존맛탱 존맛탱 존맛탱 존맛탱 존맛탱,5
51,한식,웅이네오돌뼈닭발도-금정동,ky**님,맛있게 잘 먹었습니다 감사합니다 수고하세요,5
52,한식,웅이네오돌뼈닭발도-금정동,go**님,숟가락 젓가락 없어서  맛은 있는데 쿨피스 서비스 감사합니다 ♡,5
53,한식,웅이네오돌뼈닭발도-금정동,pk**님,너무 맛있어서 뒤로 넘어졌습니다,5
54,한식,웅이네오돌뼈닭발도-금정동,wn**님,너무 맛있게 먹었어요 ,5
55,한식,웅이네오돌뼈닭발도-금정동,22**님,배가 지금까지 아프고 있어요,5
56,한식,웅이네오돌뼈닭발도-금정동,jj**님,언제 먹어도 맛있습니다 오도독뼈는 웅이네가 젤 맛있는 거 같아요,5
57,한식,웅이네오돌뼈닭발도-금정동,lj**님,웅이네 단골 언제 먹어도 존 만,4
58,한식,웅이네오돌뼈닭발도-금정동,qa**님,처음 시켜봤는데 진짜 맛있어요 닭발도 꼬들꼬들 양념도 맛있고 불 향도 나요 딱 달콤 매콤 계란찜도 보들보들 딱 맛있고요 주먹밥 양도 꽤 많네요  첫 주문에도 실패 없는 맛이라 신나서 리뷰 남겨요,5
59,한식,웅이네오돌뼈닭발도-금정동,th**님,존 마태 구리 요 글자 이상,5
60,한식,웅이네오돌뼈닭발도-금정동,si**님,웅이네 뻐국물닭발 국물까지 밥 비벼서 먹네요 매콤한 거 생각날 때 정답이에요,4
61,한식,웅이네오돌뼈닭발도-금정동,je**님,배달 잘 맞춰오고 잘 먹었어요 순한 맛은 4학년도 잘 먹네요,5
62,한식,웅이네오돌뼈닭발도-금정동,su**님,첫 주문이었는데 너무 맛있었어요,5
63,한식,웅이네오돌뼈닭발도-금정동,jh**님,금정점 문이 닫아 안양점으로 주문했는데 금정이 훨씬 맛있네요,4
64,한식,웅이네오돌뼈닭발도-금정동,eg**님,맵질이라 진짜 엄청 맵네요 근데 스트레스 풀려요 대박,5
65,한식,웅이네오돌뼈닭발도-금정동,tk**님,맛있어요 매콤마콤해요,5
66,한식,웅이네오돌뼈닭발도-금정동,ys**님,야식은 진짜 웅이네♥️,5
67,한식,웅이네오돌뼈닭발도-금정동,ti**님,아들이 꼭 웅이네만 먹어요 특히 계란찜에 푹 빠졌답니다 맛있게 잘 먹었어요,4
68,한식,웅이네오돌뼈닭발도-금정동,se**님,다 좋은데 가락국수가 불었어요,5
69,한식,웅이네오돌뼈닭발도-금정동,go**님,생각만큼 좋았어요 좋아요,5
70,한식,웅이네오돌뼈닭발도-금정동,dp**님,계란찜을 시켰는데 계란탕이옴닭발은 왜 탔는지 의문 한두 개가 아님,4
71,한식,웅이네오돌뼈닭발도-금정동,ma**님,맛나여 기사님도 빠른 배송 ,5
72,한식,웅이네오돌뼈닭발도-금정동,tj**님,너무 맛있어 허겁지겁 먹느라 먹기 전 사진 찍는 걸 깜빡해 먹는 순간 티브이 화면을 찍어 첨부합니다 제이 호도 울고 갈 맛 불 맛 가득 닭발과 계란찜 주먹밥 양도 생각보다 많아서 야식 맛있게 즐겼습니다 특히 닭발은 다음날 식었을 때 먹어도 더 맛있어서 깜놀했음 웅이가 눈 뜰 맛,5
73,한식,웅이네오돌뼈닭발도-금정동,lh**님,불 맛나는 게 좋아요 주먹밥도 맛있어요,5
74,한식,웅이네오돌뼈닭발도-금정동,jy**님,당골 집하지만 오늘은 좀 짜든대그래도 잘 억억습니다,5
75,한식,웅이네오돌뼈닭발도-금정동,a-**님,여전히 맛이 좋아요,5
76,한식,웅이네오돌뼈닭발도-금정동,y2**님,아주 맛있게 잘 먹었습니다,4
77,한식,웅이네오돌뼈닭발도-금정동,ja**님,맛있게 잘 먹었어요 맵네요 오늘은,5
78,한식,웅이네오돌뼈닭발도-금정동,kj**님,배달 30분 만에 왔어요 웅이네 오도독뼈만 먹다가 처음 닭발 먹었는데 역시 맛있네요,5
79,한식,웅이네오돌뼈닭발도-금정동,dk**님,아 진짜 미치겠다 너무 맛있어서 사람이 돌아버릴 수가 있다는 걸 웅이네 덕분에 알게 되었네요 진짜 맛이 장난 없고요 특히 계란찜 이우와 암튼 최고입니다 많이 파시고 행복하세요,5
80,한식,웅이네오돌뼈닭발도-금정동,hy**님,혼자 먹기 간퍈한거 같아요 맛있습니다 ,5
81,한식,웅이네오돌뼈닭발도-금정동,ne**님,푸짐하고 맛있어요 굿굿,5
82,한식,웅이네오돌뼈닭발도-금정동,mi**님,닭발 시킬 땐 항상 운 이네서만 맛있어요,5
83,한식,웅이네오돌뼈닭발도-금정동,eu**님,닭발도 적당히 매워서 맛있었어요 통닭이 생각지도 못하게 너무 맛있었어요 애들이 잘 먹더라고요,5
84,한식,웅이네오돌뼈닭발도-금정동,ys**님,저능 웅이네가 너무너무 쥬아용 ♥️,5
85,한식,웅이네오돌뼈닭발도-금정동,ko**님,배달이 빠르게 와서 따뜻하게 먹었습니다 맛있게 잘 먹었습니다,5
86,한식,웅이네오돌뼈닭발도-금정동,mi**님,맛있어요 매운맛 하니깐 꽤 맵네요 좋아요,5
87,한식,웅이네오돌뼈닭발도-금정동,ki**님,적당해요 중간 맛 별 노 맵지 않아요   오돌,4
88,한식,웅이네오돌뼈닭발도-금정동,pa**님,음식은 배달 예상시간 보다 일찍 받았어요 단무지 낙넉히 달라 했는데 하나만 온 거 이해하는데 근데 주먹밥에 딸려오는 김가루가 없네요 그래서 주먹밥 맛이 약간 아쉽네 요다음엔 잘 챙겨 보내주세요,4
89,한식,웅이네오돌뼈닭발도-금정동,rm**님,요즘 자주 시켜 먹었는데 이번에 진짜 으로 왔네요 김하난저렇게뜯어져서왔구요 닭발 매운 걸로 잘못 온 줄 알았어요 며칠 전까지만 해도 있던 파도 없고 색도 진하고 냄새도 매워서 기분 탓이겠지 하고 먹어봤는데 너무 매워 전화했더니 양념이 새로웠는데 좀 더 매워진 것 같다는 둥 어쩌고 하셨는데 그냥 알겠다고 했는데요 전에 거하고 색 자체가 정말 달라요 진짜 진하고 소스핵 같은 게 엄청 찐득하게 많이 있는 게 양념을 조절 못하고 많이 넣으신 것 같아요 그냥 몇 개 집어먹다가 배 아파서 다 버렸습니다 짧은 기간 연속으로 먹어서 맛 차이 확실히 알고 색도 달라요 근데 무작정 핑계만 대시더라고요 당분간 생각 안 날 듯 배 아픔,3
90,한식,웅이네오돌뼈닭발도-금정동,rm**님,요즘 자주 시켜 먹어 영 맵질이라 좀 더덜 매운맛이 나오면 좋을 텐데  보통맛도 매워 영,5
91,한식,웅이네오돌뼈닭발도-금정동,gm**님,배달도 빨리 오고 맛도 있고 양도 2명이서 먹기에 딱이에요 닭발 생각날 때 또 배달시켜 먹을게요,5
92,한식,웅이네오돌뼈닭발도-금정동,sk**님,중간 맛을 주문했는데도 맵더라고요 매운 것 못 드시는 분들은 순한 맛 추천,5
93,한식,웅이네오돌뼈닭발도-금정동,zx**님,꿀맛여 10번은 시켜 먹은 듯,5
94,한식,웅이네오돌뼈닭발도-금정동,ss**님,계속 즐겨먹고 있습니다 맛있어요,5
95,한식,웅이네오돌뼈닭발도-금정동,de**님,배달 진짜 빨랐고요 양은 2명이 먹으면 딱 맞아요 닭발 맛은 그냥 그랬어요,4
96,한식,웅이네오돌뼈닭발도-금정동,xo**님,오도독뼈는 첨 먹어봤는데 맛있네요 잘 먹었습니다,5
97,한식,웅이네오돌뼈닭발도-금정동,su**님,맛있어요  웅이네  오돌뼤,5
98,한식,웅이네오돌뼈닭발도-금정동,ne**님,푸짐하고 맛있어요 굿,5
99,한식,웅이네오돌뼈닭발도-금정동,ja**님,닭발 맛나게 잘 먹었습니다 불 향도 나고 맛나요,5
100,한식,웅이네오돌뼈닭발도-금정동,xj**님,,4
101,한식,웅이네오돌뼈닭발도-금정동,ca**님,맛있고 양도 많은데 배달 예상시간보다 훨씬 빨리 왔어요,5
102,한식,웅이네오돌뼈닭발도-금정동,rl**님,무뼈닭발 먹고 싶을 때 시켜 먹는 단골집입니다 맛나게 잘 먹었습니다,5
103,한식,웅이네오돌뼈닭발도-금정동,ce**님,단무지 안 먹어서 다른 거 많이 달라고 징징 걸렸는데 들어주셔서 감사해요 항상 닭발만 먹다 오도독뼈를 첨 먹은 건데 정말 맛있더라고요,5
104,한식,웅이네오돌뼈닭발도-금정동,a8**님,불향이 많이 나고 맛있어요,5
105,한식,웅이네오돌뼈닭발도-금정동,tj**님,양도 많고 맛도 맛있어요 ,5
106,한식,웅이네오돌뼈닭발도-금정동,ch**님,정말 맛있어요  담번에도 시킬게요,3
107,한식,웅이네오돌뼈닭발도-금정동,an**님,매운 야식이 먹고 싶어서 처음 주문해 봤는데 닭발 전문이라 그런지 주꾸미는 맵긴 하지만 캡사이신 때문인지 뒤 끝이 쓴맛이 강하네요 그리고 주꾸미 양이 너무 적어요 주꾸미보다 양파가 대부분이라 양파만 집어먹었네요 야식으로 먹는다면 모를까 식사로 시킨다면 양이 부족할 거 같아요,3
108,한식,웅이네오돌뼈닭발도-금정동,rh**님,주문이 밀리셨는지 배달이  늦었네요,4
109,한식,웅이네오돌뼈닭발도-금정동,sm**님,맛있어요 깔끔하고요,5
110,한식,웅이네오돌뼈닭발도-금정동,38**님,맛있어요 늦게까지 배달도 되고요,5
111,한식,웅이네오돌뼈닭발도-금정동,sk**님,오랜만에 먹었는데 너무 맛있어요,5
112,한식,웅이네오돌뼈닭발도-금정동,bo**님,맛있게 잘 먹었습니다,5
113,한식,웅이네오돌뼈닭발도-금정동,손님,처음 시켜봤는데 맛있습니다 닭발은 여기서 자주 시킬 생각입니다,5
114,한식,웅이네오돌뼈닭발도-금정동,ql**님,진짜 너무 맛이 없어요 콩나물을 시킨 건지 닭발을 시킨 건지 헷갈릴 정도로 콩나물이 많아요 사진에서 보이는 거보다 더 많아요 평점이 왜 높은지 이해할 수 없어요 돈이 아깝네요,2
115,한식,웅이네오돌뼈닭발도-금정동,is**님,중독성이 있어요 여기만 이용하게 되네요,5
116,한식,웅이네오돌뼈닭발도-금정동,kh**님,맛있어서 다음에 또 주문하려고요,5
117,한식,웅이네오돌뼈닭발도-금정동,5s**님,계란찜도 보드랍고 주먹밥도 양이 많고 맛있는데 닭발 양이 조금 아쉬웠어요 중간 맛 적당히 맵고 맛있어요,5
118,한식,웅이네오돌뼈닭발도-금정동,j2**님,정말 맛있어요,5
119,한식,웅이네오돌뼈닭발도-금정동,lh**님,맛있어요 매콤하게 잘 먹었습니다,5
120,한식,웅이네오돌뼈닭발도-금정동,im**님,정말  맛있네요  오랜만에 먹었지만,5
121,한식,웅이네오돌뼈닭발도-금정동,rl**님,맛나게 잘 먹었습니다,5
122,한식,웅이네오돌뼈닭발도-금정동,lo**님,자주 시켜 먹어요 맛있어요,4
123,한식,웅이네오돌뼈닭발도-금정동,rf**님,너무 맛있고  양도 많아 딱이네요 가끔 생각나는 닭발  단골 찜  합니다,5
124,한식,웅이네오돌뼈닭발도-금정동,jy**님,굿   ,5
125,한식,웅이네오돌뼈닭발도-금정동,ym**님,맛있어요 항상 요기만 시켜 먹음,5
126,한식,웅이네오돌뼈닭발도-금정동,pu**님,매운 게 당길 때 시켜 먹는 온돌 뼈 오랜만에 시켰는데 항상 똑같네요 잘 먹었습니다,5
127,한식,웅이네오돌뼈닭발도-금정동,sd**님,너무 맛있게 먹었습니다 급하게 먹느라 사진을 못 찍었네요,5
128,한식,웅이네오돌뼈닭발도-금정동,qk**님,맛있었는데 계란찜이 조금 아쉬웠어요,5
129,한식,웅이네오돌뼈닭발도-금정동,jj**님,배달도 빠르고 맛있어요,5
130,한식,웅이네오돌뼈닭발도-금정동,km**님,원래 뼈밖에 안 먹는데 여기 국물 닭발 너무 맛있어서 또 시켰어요 저번에 오도독뼈도 맛있었고 암튼 닭발은 여기 거만 먹네요,5
131,한식,웅이네오돌뼈닭발도-금정동,su**님,정말 맛있었어요 냉장고 보관해뒀다 담날 먹었는데도 존 만,5
132,한식,웅이네오돌뼈닭발도-금정동,ks**님,배달 빠르고 맛있습니다,5
133,한식,웅이네오돌뼈닭발도-금정동,손님,맛있었습니다 수고하셨어요,5
134,한식,웅이네오돌뼈닭발도-금정동,do**님,로열 샬루뚜 21년산이랑 즐겼네요 참 맛있습니다다 먹고 남은 거 또 먹었네요,5
135,한식,웅이네오돌뼈닭발도-금정동,vk**님,맛도 있고 양이 너무 많아요 아까운데 다 못 먹었어요 너무 많아서,5
136,한식,웅이네오돌뼈닭발도-금정동,손님,맛있게 잘 먹었습니다,5
137,한식,웅이네오돌뼈닭발도-금정동,su**님,주문 취소된 줄 알고 다른 지점에 다시 시켜서 먹고 있었는데 배달 와서 놀랐어요 확인해보니 결제 잘 됐더라구욬 냉장고에 넣어두고 다음날에 프라이팬에 다 넣고 볶아 먹었는데 존맛탱 잘 먹었습니다,5
138,한식,웅이네오돌뼈닭발도-금정동,rl**님,무뼈닭발이 먹고 싶을 때 시켜 먹는 단골집입니다 맛나게 잘 먹었습니다,5
139,한식,웅이네오돌뼈닭발도-금정동,cu**님,감사합니다 잘 받았습니다,5
140,한식,웅이네오돌뼈닭발도-금정동,mc**님,비 와서 위험할 텐데도 예상시간보다 빨리 배달됐어요 미안하고 감사합니다 맛있어요 적당히 맵고 파도 많고 계란찜은 부드럽고 밥은 간이 약간 아쉬워요 받자마자 또 정신없이 먹어치웠네요 맛 배달 만족  양은 적은 느낌이라 아쉬워요,5
141,한식,웅이네오돌뼈닭발도-금정동,ss**님,늘 맛있게 먹고 있습니다,5
142,한식,웅이네오돌뼈닭발도-금정동,yo**님,믿고 먹는 맛이죠 항상 잘 먹고 있어요,5
143,한식,웅이네오돌뼈닭발도-금정동,a-**님,웅이네 근처 다른 매운 닭발 몇 년 단골이었는데 월요일에 그 가게가 쉬는 날이었고 닭발 가게를 찾다가 웅이네 차가 돌아다니는 걸 기억해내서 처음으로 시켜봤는데 한번 먹어보고 몇 년 단골집을 바꾸기로 했네요 일단 닭발이 살집이 통통하고 매콤하고 두 번째는 밥 양과 닭발 양이 많았고요 세 번째는 기념일이었는데 서비스로 쿨피스 작은 것도 챙겨주셨네요 웅이네  벌써 일주일 동안 두 번 시켜 먹었네요 웅이네 근처 몇 년 단골집을 바꿀 정도로,5
144,한식,웅이네오돌뼈닭발도-금정동,lo**님,오랜만에 먹어도 맛있는 웅이네 항상 배달이 많이 늦었는데 이번엔 배달도 빨랐어요 감사합니다 또 시켜 먹을게요 닭 밝은 웅이네,5
145,한식,웅이네오돌뼈닭발도-금정동,jy**님,배달 빠르고 양 많아요 맛있어요,5
146,한식,웅이네오돌뼈닭발도-금정동,se**님,너무 맛있게 잘 먹었습니다☺️,5
147,한식,웅이네오돌뼈닭발도-금정동,ke**님,너무 맛있게 잘 먹었어요,5
148,한식,웅이네오돌뼈닭발도-금정동,vo**님,맛있게 잘 먹었습니다   담에 또 시켜 먹어야지,5
149,한식,웅이네오돌뼈닭발도-금정동,he**님,처음 시켜봤는데 맛있네요 양이 많아서 많이 남았어요,5
150,한식,웅이네오돌뼈닭발도-금정동,bl**님,숯불 향이 좀 강하게 나는 거 빼고 다 좋았어요,5
151,한식,웅이네오돌뼈닭발도-금정동,손님,맛있게 잘 먹었습니다,5
152,한식,웅이네오돌뼈닭발도-금정동,ye**님,맛있게 잘 먹었습니다 감사합니다   ,5
153,한식,웅이네오돌뼈닭발도-금정동,ga**님,맛있어요 술안주로 최고임,5
154,한식,웅이네오돌뼈닭발도-금정동,ch**님,첫 번째 국물 뼈닭발 두 번째 무뼈닭발시켰는데 양도 많고 둘 다 너무 맛있어요 원래 배달 안 시키려 먹는데 친구들 와서 처음 시키고 계속 시킬듯해요,5
155,한식,웅이네오돌뼈닭발도-금정동,k9**님,맛있어 양념 맛이 아주 좋다 밥 비벼 먹으면 너무 맛있어,4
156,한식,웅이네오돌뼈닭발도-금정동,ay**님,맛있게 잘 먹었어 유 김치 부탁드렸는데 안 주셨네 유,5
157,한식,웅이네오돌뼈닭발도-금정동,bo**님,맛있게 잘 먹었습니다,5
158,한식,웅이네오돌뼈닭발도-금정동,dl**님,오랜만에 시켰는데 역시 맛있게 잘 먹었습니다,5
159,한식,웅이네오돌뼈닭발도-금정동,cr**님,매운 이나 매운맛을 좋아하는 편이라 저에게는 그다지 맵지는 않았어요 맛이 없는 편은 아닌듯하네요 계란찜도 부들부들 개인적으로 고두밥 좋아해서 저는 좋았어요,4
160,한식,웅이네오돌뼈닭발도-금정동,di**님,무슨 말이 더 필요 한가요 맛있습니다,5
161,한식,웅이네오돌뼈닭발도-금정동,jj**님,오도독뼈 양 많고 맛있습니다,5
162,한식,웅이네오돌뼈닭발도-금정동,vo**님,맛있었음요  잘 먹었어요,5
163,한식,웅이네오돌뼈닭발도-금정동,sk**님,언제 먹어도 찐 이에요,5
164,한식,웅이네오돌뼈닭발도-금정동,ba**님,오랜만에 먹었는데 너무 맛있네요 군 굿입니다,5
165,한식,웅이네오돌뼈닭발도-금정동,ju**님,너무 맛있어 용,5
167,한식,웅이네오돌뼈닭발도-금정동,l4**님,중고등 딸내미들이 닭 달을 좋아하는 데 중간 맛으로  시켰더니 적당히 맵고 좋네요,5
168,한식,웅이네오돌뼈닭발도-금정동,lh**님,맛있게 잘 먹었습니다🧡🤎🤍,5
169,한식,웅이네오돌뼈닭발도-금정동,03**님,오랜만에 먹었는데 계란찜 여전히 최고🤍🤍,5
170,한식,웅이네오돌뼈닭발도-금정동,ww**님,두 번이나 시켜 먹었는데 제대로 찍은 사진이 없네요 여전히 맛납니다♡,5
171,한식,웅이네오돌뼈닭발도-금정동,ww**님,다이어트에도 제격인 닭발과 함께합니다 불 맛 은은하니 너무 맛나요,5
172,한식,웅이네오돌뼈닭발도-금정동,ps**님,맛도 좋고 양도 만족  잘 먹었습니다,5
173,한식,웅이네오돌뼈닭발도-금정동,tk**님,배달이 살짝 늦긴 했지만 많이 안 식어서 와서 맛있게 먹었습니다 첨 시켜봤는데 맛있네요,4
174,한식,웅이네오돌뼈닭발도-금정동,wo**님,맛은 있었지만 배달이 늦어서 식어왔어요 아쉽네요,4
175,한식,웅이네오돌뼈닭발도-금정동,hu**님,너무 배고파서 사진을 못 찍었어요 너무 맛있어요,5
176,한식,웅이네오돌뼈닭발도-금정동,le**님,맛나게 잘 먹었어요,5
177,한식,웅이네오돌뼈닭발도-금정동,al**님,믿고 주문하는 맛집 항상 맛있게 먹고 있어요,5
178,한식,웅이네오돌뼈닭발도-금정동,ho**님,지난번에는 오도독뼈를 주문했었는데 주꾸미도 맛있어요 ,5
180,한식,웅이네오돌뼈닭발도-금정동,rf**님,배달도 빠르고 양도 2인 먹기 적당하고 맛도 괜찮네요 단골 찜 합니다,5
181,한식,웅이네오돌뼈닭발도-금정동,db**님,웅이네 첨 시켜봤어요  오도독뼈는 선호하지 않아서 무뼈닭발로 시켰는데 오 숯불 향 나고 맵기는 중간 맛 했는데 열 라면 씁하하면서 잘 먹는 맵찌리인 저는 딱 적당히 즐길 수 있는 맵기네요  무엇보다 계란찜이 부드럽고 후룩후룩 떠먹기 좋았습니다 주먹밥도 양이 엄청나요 제기 중 3끼 해결 가능할 정도의 양 쿨피스도 살얼음 쿨피스여서 시원하게 잘 마셨습니다 뜨끈하게 배달 잘 와서 맛있는 저녁식사했어 요다음에는 오도독뼈 또는 국물 닭발로 시켜보겠습니다  ,5
182,한식,웅이네오돌뼈닭발도-금정동,ay**님,배달이 빠르고 주먹밥 양이 많음,5
183,한식,웅이네오돌뼈닭발도-금정동,손님,,5
184,한식,웅이네오돌뼈닭발도-금정동,kw**님,너무 맛있네요 양도 푸짐해요 야식으로 최고입니다,5
185,한식,웅이네오돌뼈닭발도-금정동,kw**님,불 맛도 나고 계란찜도 부드러워요 주먹밥 양도 많고 맛있게 먹었습니다,5
